City,StateProvinceName,CountryRegionName,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,BikeBuyer,AvgMonthSpend
Berkeley,California,United States,7/9/1970 12:00:00 AM,Partial College,Clerical,F,M,1,0,0,1,81121,1,50.2
Wollongong,New South Wales,Australia,3/24/1972 12:00:00 AM,Partial College,Clerical,M,M,1,2,1,2,87700,1,56.92
Port Orchard,Washington,United States,1/13/1985 12:00:00 AM,Graduate Degree,Skilled Manual,F,M,1,2,0,2,57718,1,48.78
Victoria,British Columbia,Canada,5/28/1984 12:00:00 AM,Bachelors,Skilled Manual,F,M,1,2,1,1,54518,1,50.48
Salzgitter,Hessen,Germany,11/22/1973 12:00:00 AM,Bachelors,Skilled Manual,M,M,1,0,0,2,55241,0,50.95
San Carlos,California,United States,3/2/1996 12:00:00 AM,High School,Clerical,F,M,0,3,0,0,76451,1,50.3
Metz,Moselle,France,8/22/1977 12:00:00 AM,Partial College,Skilled Manual,M,M,1,2,1,2,61204,1,55.31
Coronado,California,United States,4/18/1975 12:00:00 AM,Graduate Degree,Manual,F,S,0,0,0,0,32710,0,45.87
Shawnee,British Columbia,Canada,7/15/1975 12:00:00 AM,High School,Clerical,F,M,1,2,1,2,82500,1,53.48
London,England,United Kingdom,8/10/1968 12:00:00 AM,High School,Clerical,F,M,1,0,1,2,85802,1,52.45
San Diego,California,United States,6/13/1975 12:00:00 AM,High School,Skilled Manual,M,M,1,2,0,2,56113,1,51.07
Geelong,Victoria,Australia,5/12/1993 12:00:00 AM,Bachelors,Management,M,S,0,3,0,0,108471,1,51.78
London,England,United Kingdom,10/7/1977 12:00:00 AM,High School,Manual,F,S,0,0,0,0,32830,0,46.96
Woodburn,Oregon,United States,7/8/1987 12:00:00 AM,Bachelors,Professional,F,S,1,2,0,0,132365,1,55.69
Bremerton,Washington,United States,8/9/1983 12:00:00 AM,Bachelors,Professional,M,M,1,1,2,2,138560,1,58.49
Chula Vista,California,United States,10/6/1977 12:00:00 AM,High School,Clerical,M,M,1,2,0,2,84914,0,56.41
Sedro Woolley,Washington,United States,4/4/1974 12:00:00 AM,High School,Skilled Manual,F,M,1,2,1,2,51201,1,47.68
Marysville,Washington,United States,12/7/1986 12:00:00 AM,Graduate Degree,Professional,M,M,1,1,1,2,132213,1,58.36
East Brisbane,Queensland,Australia,4/7/1990 12:00:00 AM,High School,Skilled Manual,F,M,0,1,0,2,57403,0,48.07
Duesseldorf,Hessen,Germany,1/22/1994 12:00:00 AM,Partial High School,Skilled Manual,M,S,0,0,0,0,61398,0,50.89
Hof,Bayern,Germany,11/14/1969 12:00:00 AM,Partial College,Skilled Manual,M,S,1,2,0,0,61521,1,48.88
Cheltenham,England,United Kingdom,10/5/1991 12:00:00 AM,Partial High School,Skilled Manual,F,S,0,1,0,0,54743,0,52.43
London,England,United Kingdom,9/6/1976 12:00:00 AM,Partial College,Skilled Manual,M,M,1,1,0,2,52379,0,52.08
Royal Oak,British Columbia,Canada,8/13/1967 12:00:00 AM,Bachelors,Clerical,F,S,1,1,0,1,80354,0,50.94
Walla Walla,Washington,United States,9/13/1998 12:00:00 AM,High School,Manual,F,M,0,1,0,0,36018,0,46.66
Long Beach,California,United States,5/27/1977 12:00:00 AM,High School,Skilled Manual,M,S,1,1,0,0,54986,0,49.72
Corvallis,Oregon,United States,3/3/1989 12:00:00 AM,Graduate Degree,Skilled Manual,F,S,0,1,0,0,61938,0,49.68
W. Linn,Oregon,United States,11/23/1995 12:00:00 AM,High School,Clerical,M,M,0,3,0,0,87727,1,49.69
Chula Vista,California,United States,8/3/1997 12:00:00 AM,Partial College,Skilled Manual,M,S,0,1,0,0,54489,0,51.08
Paris,Seine (Paris),France,4/11/1993 12:00:00 AM,High School,Skilled Manual,M,S,0,2,0,0,59413,1,48.71
Ballard,Washington,United States,5/9/1983 12:00:00 AM,Partial College,Skilled Manual,F,S,0,2,0,0,54754,0,50.79
Puyallup,Washington,United States,9/10/1968 12:00:00 AM,High School,Clerical,M,S,1,3,0,0,81564,1,56.45
Essen,Hamburg,Germany,3/20/1988 12:00:00 AM,Partial College,Management,M,M,1,3,1,2,105456,1,53.58
North Sydney,New South Wales,Australia,8/20/1986 12:00:00 AM,Graduate Degree,Clerical,M,S,0,3,0,0,77926,1,50.96
London,England,United Kingdom,6/16/1986 12:00:00 AM,High School,Manual,F,S,0,0,0,0,28910,0,45.47
London,England,United Kingdom,10/10/1982 12:00:00 AM,Bachelors,Management,M,M,1,0,2,2,109678,1,58.31
Paris,Seine (Paris),France,3/5/1974 12:00:00 AM,High School,Clerical,M,M,1,0,1,2,78162,1,51.38
Paderborn,Hamburg,Germany,10/1/1954 12:00:00 AM,Graduate Degree,Professional,M,M,1,3,1,2,136933,1,52.08
Leeds,England,United Kingdom,9/25/1983 12:00:00 AM,Bachelors,Professional,F,M,1,3,0,2,135315,1,52.55
Cloverdale,South Australia,Australia,10/8/1981 12:00:00 AM,Partial College,Clerical,M,M,1,1,1,2,81600,1,53.01
Beaverton,Oregon,United States,8/20/1978 12:00:00 AM,Partial College,Skilled Manual,M,M,1,0,1,2,56770,1,56.42
Novato,California,United States,11/5/1976 12:00:00 AM,Partial College,Skilled Manual,F,M,1,1,0,1,50952,0,48.13
Berkeley,California,United States,8/22/1960 12:00:00 AM,Graduate Degree,Skilled Manual,F,M,1,2,1,2,50930,1,51.03
Saint-Denis,Seine Saint Denis,France,11/13/1981 12:00:00 AM,Graduate Degree,Clerical,F,S,1,2,0,0,80515,1,54.26
Frankfurt,Hessen,Germany,9/12/1983 12:00:00 AM,Bachelors,Professional,F,M,1,2,0,2,132129,1,51.8
Berkeley,California,United States,10/11/1979 12:00:00 AM,Graduate Degree,Management,M,M,1,0,2,2,106329,1,53.05
Wollongong,New South Wales,Australia,10/24/1973 12:00:00 AM,Partial College,Management,M,M,1,2,1,2,103709,1,57.46
Lynnwood,Washington,United States,4/3/1978 12:00:00 AM,Partial College,Clerical,F,M,1,1,1,1,83903,1,51.93
Paris,Seine (Paris),France,3/6/1979 12:00:00 AM,High School,Clerical,M,S,1,1,0,0,82028,0,54.74
Royal Oak,British Columbia,Canada,10/4/1999 12:00:00 AM,Partial High School,Skilled Manual,F,S,0,1,0,0,58704,0,48.78
Brisbane,Queensland,Australia,7/11/1975 12:00:00 AM,Partial College,Clerical,F,M,1,1,0,2,85299,1,50.72
Fremont,California,United States,3/26/1993 12:00:00 AM,Graduate Degree,Professional,F,M,1,2,0,0,129338,0,51.52
Saint Ouen,Somme,France,10/11/1989 12:00:00 AM,Graduate Degree,Professional,M,S,1,2,0,0,136576,0,55.07
Lincoln Acres,California,United States,4/16/1991 12:00:00 AM,Graduate Degree,Professional,F,M,1,2,0,0,136119,0,52.33
Spring Valley,California,United States,12/20/1973 12:00:00 AM,Bachelors,Clerical,M,M,1,3,1,1,87291,1,56.84
Sunbury,Victoria,Australia,4/5/1975 12:00:00 AM,High School,Manual,M,M,1,1,0,2,35987,1,48.56
Rockhampton,Queensland,Australia,2/10/1966 12:00:00 AM,High School,Manual,M,M,1,1,2,2,27489,0,48.85
N. Vancouver,British Columbia,Canada,7/26/1977 12:00:00 AM,Partial College,Management,M,M,1,4,0,2,107526,0,58.56
Marysville,Washington,United States,9/21/1990 12:00:00 AM,Bachelors,Clerical,M,M,1,2,1,2,83391,1,51.23
Rockhampton,Queensland,Australia,11/16/1973 12:00:00 AM,Partial College,Management,M,S,1,3,0,0,109705,1,58.55
Palo Alto,California,United States,1/11/1969 12:00:00 AM,Partial College,Clerical,F,M,1,2,1,2,82930,1,51.57
Langford,British Columbia,Canada,9/4/1987 12:00:00 AM,Partial College,Skilled Manual,F,S,0,1,0,0,52120,0,48.37
Burbank,California,United States,2/2/1955 12:00:00 AM,Graduate Degree,Management,M,S,1,1,0,1,106973,0,51.66
Santa Monica,California,United States,9/9/1988 12:00:00 AM,Bachelors,Clerical,M,M,1,1,1,2,80949,1,49.68
Olympia,Washington,United States,4/12/1974 12:00:00 AM,Partial High School,Manual,M,S,0,0,0,0,29386,0,48.81
Sunbury,Victoria,Australia,10/25/1998 12:00:00 AM,Bachelors,Professional,M,S,0,0,0,0,138245,1,54.39
Melbourne,Victoria,Australia,11/17/1983 12:00:00 AM,Bachelors,Management,M,M,1,2,2,2,109116,1,60.47
Peterborough,England,United Kingdom,12/17/1997 12:00:00 AM,Partial College,Clerical,M,S,0,0,0,0,84001,1,53.66
Warrington,England,United Kingdom,9/12/1990 12:00:00 AM,High School,Skilled Manual,M,S,0,0,0,0,57164,0,52.97
Cheltenham,England,United Kingdom,3/3/1983 12:00:00 AM,High School,Skilled Manual,M,S,0,1,0,0,52345,0,51.55
Hervey Bay,Queensland,Australia,9/13/1976 12:00:00 AM,Partial College,Manual,F,M,1,1,1,2,29177,0,47.77
London,England,United Kingdom,11/20/1988 12:00:00 AM,Graduate Degree,Clerical,M,M,1,0,1,1,83583,1,54.27
Coffs Harbour,New South Wales,Australia,3/4/1987 12:00:00 AM,Graduate Degree,Clerical,F,M,1,0,1,2,76637,1,53.48
Cliffside,British Columbia,Canada,10/6/1984 12:00:00 AM,Bachelors,Skilled Manual,F,S,0,1,0,0,54247,0,49.88
Berkshire,England,United Kingdom,7/5/1988 12:00:00 AM,Bachelors,Management,F,M,1,1,1,2,101823,1,54.45
Concord,California,United States,11/23/1983 12:00:00 AM,Bachelors,Clerical,M,M,1,3,0,1,77108,1,51.88
Billericay,England,United Kingdom,3/8/1985 12:00:00 AM,Bachelors,Skilled Manual,F,M,1,1,1,1,60833,1,48.71
Berlin,Saarland,Germany,12/7/1973 12:00:00 AM,Partial College,Management,F,M,1,1,0,2,105011,0,51.73
Shawnee,British Columbia,Canada,4/2/1985 12:00:00 AM,Bachelors,Management,M,S,1,3,0,0,106823,1,54.64
Paris,Seine (Paris),France,11/18/1995 12:00:00 AM,Partial College,Skilled Manual,M,S,0,2,0,0,59619,1,50.84
Woodburn,Oregon,United States,6/19/1976 12:00:00 AM,Partial College,Management,F,M,1,3,1,2,108295,1,53.36
Oxford,England,United Kingdom,9/10/1990 12:00:00 AM,Graduate Degree,Management,F,M,1,3,0,2,111482,0,51.7
Langley,British Columbia,Canada,11/16/1992 12:00:00 AM,Bachelors,Professional,F,S,1,2,0,0,136135,1,56.26
Edmonds,Washington,United States,4/11/1996 12:00:00 AM,High School,Clerical,M,M,0,0,0,0,82539,0,49.72
Wollongong,New South Wales,Australia,10/2/1989 12:00:00 AM,Graduate Degree,Clerical,M,M,1,1,0,1,81209,0,50.49
Reading,England,United Kingdom,9/11/1971 12:00:00 AM,Partial College,Skilled Manual,M,S,1,1,0,0,58478,0,57.16
Leeds,England,United Kingdom,6/25/1984 12:00:00 AM,Partial High School,Manual,F,M,0,0,1,1,28727,0,48.69
Darlinghurst,New South Wales,Australia,2/5/1993 12:00:00 AM,Partial High School,Manual,F,M,0,1,0,0,32404,0,46.12
Cheltenham,England,United Kingdom,7/21/1973 12:00:00 AM,Partial College,Skilled Manual,F,M,1,2,1,2,57064,1,53.03
Seaford,Victoria,Australia,3/16/1983 12:00:00 AM,Bachelors,Professional,M,S,1,2,0,0,133345,1,55.4
Billericay,England,United Kingdom,4/4/1976 12:00:00 AM,Partial High School,Skilled Manual,F,M,1,1,0,2,55517,1,48.64
Liverpool,England,United Kingdom,4/3/1954 12:00:00 AM,Graduate Degree,Manual,F,M,1,0,1,2,32642,1,49.09
North Ryde,New South Wales,Australia,11/2/1986 12:00:00 AM,Graduate Degree,Professional,F,M,1,2,0,2,137343,1,52.81
Geelong,Victoria,Australia,4/21/1986 12:00:00 AM,Bachelors,Skilled Manual,F,S,0,1,0,0,53266,0,48.95
Werne,Nordrhein-Westfalen,Germany,10/14/1969 12:00:00 AM,High School,Skilled Manual,F,M,1,2,0,2,53908,0,47.86
Haney,British Columbia,Canada,6/22/1985 12:00:00 AM,Bachelors,Clerical,M,S,0,3,0,0,77263,1,57.83
Neunkirchen,Saarland,Germany,4/8/1991 12:00:00 AM,Partial High School,Skilled Manual,F,M,0,1,2,2,58328,1,50.74
Les Ulis,Essonne,France,5/4/1988 12:00:00 AM,Graduate Degree,Clerical,M,M,1,0,0,1,79793,1,49.36
York,England,United Kingdom,1/7/1981 12:00:00 AM,Graduate Degree,Management,M,M,1,1,0,1,108951,0,55.02
Torrance,California,United States,6/22/1967 12:00:00 AM,Partial College,Manual,M,M,1,1,1,2,35074,1,49.09
Salem,Oregon,United States,2/21/1995 12:00:00 AM,High School,Clerical,M,S,0,3,0,0,86988,0,50.53
Victoria,British Columbia,Canada,7/5/1983 12:00:00 AM,Partial College,Management,F,S,1,2,0,0,102258,1,51.3
Warrnambool,Victoria,Australia,1/28/1966 12:00:00 AM,Bachelors,Professional,M,M,1,1,0,2,130953,0,52.6
London,England,United Kingdom,12/7/1990 12:00:00 AM,Partial College,Skilled Manual,F,S,0,1,0,0,55230,0,52.24
Royal Oak,British Columbia,Canada,1/1/1978 12:00:00 AM,Partial College,Clerical,F,M,1,3,1,2,78687,1,52.54
Maidenhead,England,United Kingdom,2/20/1987 12:00:00 AM,Partial College,Manual,M,S,0,0,0,0,34581,0,49.25
Fremont,California,United States,2/10/1993 12:00:00 AM,Graduate Degree,Manual,M,M,0,0,0,0,34875,1,45.87
Lynnwood,Washington,United States,9/10/1989 12:00:00 AM,Graduate Degree,Skilled Manual,F,M,0,0,0,1,56163,1,48.79
Torrance,California,United States,7/27/1963 12:00:00 AM,Bachelors,Management,F,S,1,2,1,1,105246,1,52.63
Long Beach,California,United States,7/26/1982 12:00:00 AM,Bachelors,Professional,F,M,1,1,1,2,132401,1,54.13
Paris,Seine (Paris),France,12/23/1985 12:00:00 AM,High School,Skilled Manual,F,M,1,0,1,2,56710,1,51.5
Grossmont,California,United States,11/14/1986 12:00:00 AM,Graduate Degree,Management,F,M,1,1,0,1,105585,0,50.56
W. Linn,Oregon,United States,12/19/1981 12:00:00 AM,Partial College,Management,F,M,1,2,2,2,102843,1,52.11
Sunbury,Victoria,Australia,1/6/1987 12:00:00 AM,Bachelors,Management,M,M,1,2,0,0,108921,1,51.26
Bellflower,California,United States,2/12/1980 12:00:00 AM,Partial College,Clerical,M,M,1,3,1,2,82552,1,52.73
Langford,British Columbia,Canada,8/14/1986 12:00:00 AM,Graduate Degree,Management,M,S,1,1,0,0,108806,1,56.12
Imperial Beach,California,United States,11/13/1981 12:00:00 AM,Bachelors,Professional,M,S,1,2,0,0,131929,1,62.17
Lemon Grove,California,United States,8/23/1978 12:00:00 AM,Graduate Degree,Management,M,S,1,2,0,0,104588,1,55.24
Grossmont,California,United States,9/22/1991 12:00:00 AM,Graduate Degree,Management,M,M,1,2,0,0,109272,1,51.18
Bottrop,Nordrhein-Westfalen,Germany,10/15/1991 12:00:00 AM,Partial College,Management,M,S,0,1,0,0,105660,0,55.4
Bellingham,Washington,United States,4/26/1977 12:00:00 AM,High School,Skilled Manual,F,M,1,1,0,2,57869,0,48.39
Versailles,Yveline,France,3/26/1970 12:00:00 AM,Partial College,Skilled Manual,M,M,1,2,1,2,54364,1,60.91
Newport Beach,California,United States,6/21/1985 12:00:00 AM,Graduate Degree,Professional,M,S,1,1,0,0,131067,0,59.08
Hobart,Tasmania,Australia,3/11/1989 12:00:00 AM,Graduate Degree,Professional,F,S,1,3,0,0,132986,0,52.63
Gateshead,England,United Kingdom,11/18/1985 12:00:00 AM,Bachelors,Skilled Manual,F,M,1,1,2,2,53183,1,51.12
London,England,United Kingdom,4/9/1963 12:00:00 AM,Bachelors,Clerical,F,M,1,1,1,2,86456,1,51.18
North Sydney,New South Wales,Australia,9/14/1982 12:00:00 AM,Bachelors,Clerical,F,S,1,2,0,0,79816,0,54.35
Walla Walla,Washington,United States,3/2/1966 12:00:00 AM,Bachelors,Clerical,F,M,1,1,1,2,81813,0,53.48
Concord,California,United States,1/5/1994 12:00:00 AM,Partial College,Clerical,M,M,0,0,0,0,86032,1,50.39
Paris,Seine (Paris),France,10/11/1992 12:00:00 AM,Bachelors,Management,F,M,1,3,0,0,105251,0,51.21
Grossmont,California,United States,3/13/1989 12:00:00 AM,Bachelors,Clerical,F,M,1,0,1,2,80724,1,54.38
Los Angeles,California,United States,6/13/1961 12:00:00 AM,Graduate Degree,Professional,F,M,1,2,1,2,130358,1,56.01
Chatou,Yveline,France,9/26/1985 12:00:00 AM,Partial College,Skilled Manual,F,S,0,1,0,0,57905,0,48.79
Beverly Hills,California,United States,9/4/1986 12:00:00 AM,Graduate Degree,Management,M,M,1,2,0,0,110678,1,54.45
Victoria,British Columbia,Canada,7/16/1980 12:00:00 AM,Partial College,Management,M,M,1,0,0,1,110644,1,59.29
Findon,South Australia,Australia,3/5/1994 12:00:00 AM,Partial College,Manual,M,S,0,0,0,0,33756,0,48.99
Grossmont,California,United States,1/4/1962 12:00:00 AM,Bachelors,Management,F,S,1,1,0,1,103502,0,52.77
Spokane,Washington,United States,10/23/1987 12:00:00 AM,Bachelors,Skilled Manual,M,S,0,1,0,0,56507,0,48.64
Concord,California,United States,3/7/1990 12:00:00 AM,Graduate Degree,Professional,M,S,1,2,0,0,133836,1,55.23
Cliffside,British Columbia,Canada,7/9/1975 12:00:00 AM,Partial College,Skilled Manual,F,M,1,1,0,2,52251,1,47.69
Santa Cruz,California,United States,4/4/1990 12:00:00 AM,Bachelors,Skilled Manual,F,M,0,2,0,1,58140,1,48.85
Newport Beach,California,United States,1/14/1979 12:00:00 AM,Partial College,Management,M,S,1,2,0,0,111136,1,58.29
Spokane,Washington,United States,7/12/1980 12:00:00 AM,Partial College,Manual,M,M,1,1,0,2,28722,0,52.14
Daly City,California,United States,6/26/1986 12:00:00 AM,Bachelors,Clerical,M,S,0,2,0,0,87641,1,54.78
Burbank,California,United States,9/11/1984 12:00:00 AM,Bachelors,Professional,F,M,1,2,2,2,127437,1,54.71
W. Linn,Oregon,United States,11/19/1981 12:00:00 AM,Partial College,Clerical,F,M,1,1,0,1,84166,0,50.38
Perth,South Australia,Australia,6/17/1990 12:00:00 AM,High School,Clerical,F,S,0,0,0,0,85772,1,51.09
Newport Beach,California,United States,1/6/1953 12:00:00 AM,Graduate Degree,Skilled Manual,F,S,1,2,0,1,52240,0,51.66
Villeneuve-d'Ascq,Nord,France,4/8/1994 12:00:00 AM,Partial College,Clerical,F,S,0,3,0,0,78628,1,54.05
Münster,Saarland,Germany,1/16/1974 12:00:00 AM,Partial College,Clerical,F,M,1,1,0,2,84179,0,50.28
Woodland Hills,California,United States,5/12/1991 12:00:00 AM,Graduate Degree,Professional,F,S,1,0,0,0,127334,0,53.41
Renton,Washington,United States,9/20/1997 12:00:00 AM,Partial High School,Skilled Manual,M,S,0,1,0,0,61886,0,50.15
Paris La Defense,Hauts de Seine,France,7/12/1982 12:00:00 AM,Bachelors,Management,M,M,1,2,1,2,105044,1,58.35
Oak Bay,British Columbia,Canada,3/21/1996 12:00:00 AM,High School,Skilled Manual,M,S,0,0,0,0,57853,0,49.17
Matraville,New South Wales,Australia,11/2/1981 12:00:00 AM,Partial College,Skilled Manual,M,S,0,1,0,0,62491,1,60.56
Coronado,California,United States,5/6/1993 12:00:00 AM,Partial College,Skilled Manual,M,S,0,0,0,0,55389,1,48.08
Yakima,Washington,United States,10/15/1976 12:00:00 AM,Partial College,Manual,F,S,0,1,0,0,33168,0,49.34
Gold Coast,Queensland,Australia,7/28/1994 12:00:00 AM,Bachelors,Clerical,F,S,0,1,0,0,86003,0,50.34
Victoria,British Columbia,Canada,5/12/1982 12:00:00 AM,Partial College,Clerical,F,M,1,2,1,2,80260,1,53.42
Roubaix,Nord,France,12/3/1993 12:00:00 AM,High School,Skilled Manual,F,S,0,1,0,0,52286,0,51.96
La Jolla,California,United States,2/27/1971 12:00:00 AM,Partial College,Clerical,M,S,1,2,0,0,79608,0,53.3
Redmond,Washington,United States,11/8/1992 12:00:00 AM,Graduate Degree,Clerical,M,S,0,1,0,0,85007,0,50.98
Redmond,Washington,United States,10/2/1983 12:00:00 AM,Partial College,Skilled Manual,M,S,0,2,0,0,61568,1,58.47
Perth,South Australia,Australia,9/18/1980 12:00:00 AM,Partial College,Skilled Manual,M,M,1,0,1,2,56605,1,59.54
Salzgitter,Hessen,Germany,4/20/1987 12:00:00 AM,Partial College,Skilled Manual,M,S,0,2,0,0,58738,0,51.42
London,England,United Kingdom,9/17/1985 12:00:00 AM,Bachelors,Professional,F,M,1,1,0,1,138124,0,52.95
Bendigo,Victoria,Australia,12/26/1993 12:00:00 AM,Partial College,Skilled Manual,F,S,0,1,0,0,59945,0,50.36
Tremblay-en-France,Seine Saint Denis,France,12/14/1990 12:00:00 AM,Partial College,Management,M,S,0,3,0,0,108310,0,51.4
National City,California,United States,8/28/1972 12:00:00 AM,Partial College,Manual,F,M,1,0,0,2,31920,1,45.86
Santa Cruz,California,United States,4/10/1971 12:00:00 AM,Partial College,Clerical,F,M,1,1,1,2,84395,1,51.06
Redmond,Washington,United States,11/13/2000 12:00:00 AM,High School,Skilled Manual,M,S,0,2,0,0,58722,0,52.34
Gloucestershire,England,United Kingdom,2/23/1987 12:00:00 AM,Partial College,Skilled Manual,F,M,1,1,1,1,59813,1,51.34
Runcorn,England,United Kingdom,9/4/1967 12:00:00 AM,Partial High School,Skilled Manual,F,M,1,1,0,2,52082,1,48.71
Frankfurt,Bayern,Germany,2/2/1997 12:00:00 AM,High School,Skilled Manual,M,S,0,1,0,0,62050,1,53.11
Roubaix,Nord,France,11/11/1990 12:00:00 AM,Bachelors,Manual,M,M,0,0,1,2,28821,0,45.59
Münster,Saarland,Germany,4/2/1972 12:00:00 AM,Partial College,Clerical,M,M,1,2,1,2,78168,1,54.98
Berkeley,California,United States,5/7/1987 12:00:00 AM,Graduate Degree,Professional,M,S,1,0,0,0,130725,1,53.38
Coronado,California,United States,2/23/1998 12:00:00 AM,High School,Skilled Manual,M,S,0,1,0,0,54541,0,51.54
North Sydney,New South Wales,Australia,9/26/1968 12:00:00 AM,High School,Skilled Manual,F,M,1,1,1,2,58931,1,49.18
Marysville,Washington,United States,4/18/1983 12:00:00 AM,Partial College,Skilled Manual,F,S,0,1,0,0,56161,0,51.2
Townsville,Queensland,Australia,12/12/1980 12:00:00 AM,Partial College,Management,F,M,1,2,1,2,109515,1,51.73
Berkeley,California,United States,4/13/1971 12:00:00 AM,Partial College,Skilled Manual,F,M,1,1,0,2,62000,0,49.43
Issaquah,Washington,United States,11/23/1988 12:00:00 AM,Bachelors,Clerical,F,M,1,2,2,2,80007,1,51.59
Erlangen,Bayern,Germany,7/8/1989 12:00:00 AM,Bachelors,Skilled Manual,M,S,0,1,0,0,57249,0,50.39
Suresnes,Hauts de Seine,France,6/13/1983 12:00:00 AM,Partial College,Clerical,M,M,1,0,1,1,85446,1,58.87
Palo Alto,California,United States,3/8/1989 12:00:00 AM,Bachelors,Professional,F,S,1,1,0,0,129577,0,51.71
Imperial Beach,California,United States,10/9/1996 12:00:00 AM,Partial College,Skilled Manual,F,M,0,1,0,0,55621,0,48.47
Saarlouis,Saarland,Germany,4/25/1975 12:00:00 AM,Partial College,Manual,M,M,1,0,0,1,35985,1,52.52
Lemon Grove,California,United States,7/5/1982 12:00:00 AM,Bachelors,Manual,M,S,0,1,0,0,35101,0,54.65
Everett,Washington,United States,2/2/1986 12:00:00 AM,Graduate Degree,Clerical,M,S,0,1,0,0,80016,1,62.51
Duesseldorf,Hessen,Germany,8/3/1961 12:00:00 AM,Partial College,Management,F,M,1,2,1,2,106217,1,55
Geelong,Victoria,Australia,7/9/1985 12:00:00 AM,Bachelors,Skilled Manual,M,M,1,2,0,1,55024,1,54.45
Kassel,Hessen,Germany,12/10/1974 12:00:00 AM,Partial High School,Manual,M,S,0,0,0,0,34109,0,47.32
Concord,California,United States,2/9/1982 12:00:00 AM,Partial College,Management,F,S,1,3,0,0,112206,1,51.3
Newton,British Columbia,Canada,8/10/1968 12:00:00 AM,High School,Skilled Manual,F,M,1,2,0,2,51963,0,48.15
Haney,British Columbia,Canada,12/12/1989 12:00:00 AM,Graduate Degree,Clerical,F,S,0,1,0,0,87360,0,53.16
Newton,British Columbia,Canada,9/25/1979 12:00:00 AM,Graduate Degree,Professional,M,M,1,3,1,2,131076,1,58.61
Berlin,Hessen,Germany,11/16/1975 12:00:00 AM,Partial College,Manual,M,M,1,1,1,1,29576,0,50.21
Spring Valley,California,United States,4/13/1970 12:00:00 AM,Bachelors,Manual,M,M,1,0,0,2,30804,1,49.23
Grossmont,California,United States,3/15/1974 12:00:00 AM,Partial College,Clerical,M,M,1,1,0,2,82941,0,59.94
Downey,California,United States,10/24/1991 12:00:00 AM,Graduate Degree,Clerical,M,M,1,3,1,2,87887,1,51.9
Berkeley,California,United States,5/9/1978 12:00:00 AM,Bachelors,Skilled Manual,M,S,0,2,0,0,59811,1,58.59
Berkeley,California,United States,8/4/1974 12:00:00 AM,High School,Manual,M,S,0,0,0,0,33866,1,47.91
London,England,United Kingdom,8/21/1981 12:00:00 AM,Graduate Degree,Management,M,M,1,1,2,2,105578,1,54.41
Los Angeles,California,United States,10/20/1986 12:00:00 AM,Graduate Degree,Professional,F,M,1,3,1,2,130305,1,55.2
Everett,Washington,United States,5/4/1982 12:00:00 AM,Bachelors,Skilled Manual,F,M,1,2,1,1,58426,1,49.78
Paris,Seine (Paris),France,2/24/1982 12:00:00 AM,Bachelors,Skilled Manual,F,M,1,1,1,2,55985,1,49.34
Vancouver,British Columbia,Canada,6/9/1982 12:00:00 AM,Partial College,Clerical,M,S,1,3,0,0,82946,1,54.91
Berks,England,United Kingdom,10/12/1998 12:00:00 AM,High School,Manual,F,S,0,1,0,0,32616,0,46.77
Hobart,Tasmania,Australia,10/21/1977 12:00:00 AM,Partial College,Skilled Manual,M,S,1,1,0,0,58593,0,56.69
Bonn,Hamburg,Germany,7/18/1981 12:00:00 AM,Graduate Degree,Professional,M,M,1,1,0,2,138358,1,60.05
Seattle,Washington,United States,7/6/1977 12:00:00 AM,Partial College,Management,F,M,1,1,1,1,103727,1,50.81
London,England,United Kingdom,5/3/1980 12:00:00 AM,Partial College,Skilled Manual,F,S,0,1,0,0,55092,0,50.46
Newport Beach,California,United States,6/27/1995 12:00:00 AM,High School,Skilled Manual,F,S,0,1,0,0,54538,0,50.3
Mill Valley,California,United States,1/19/1986 12:00:00 AM,Bachelors,Management,M,S,1,1,0,0,110993,0,61.39
Novato,California,United States,5/9/1993 12:00:00 AM,Partial College,Manual,M,S,0,1,0,0,36273,0,47.34
Lakewood,California,United States,8/24/1964 12:00:00 AM,Bachelors,Professional,M,M,1,2,2,2,131056,1,54.96
Colma,California,United States,9/8/1961 12:00:00 AM,Graduate Degree,Management,F,M,1,1,2,2,104997,1,52.9
Bendigo,Victoria,Australia,4/27/1980 12:00:00 AM,Partial College,Management,M,M,1,2,0,2,105177,1,52.44
Burlingame,California,United States,3/7/1979 12:00:00 AM,Partial College,Skilled Manual,M,S,0,0,0,0,58330,1,51.53
Cliffside,British Columbia,Canada,9/20/1972 12:00:00 AM,Partial College,Skilled Manual,F,M,1,1,0,2,60199,0,48.25
Wokingham,England,United Kingdom,2/8/1964 12:00:00 AM,Bachelors,Skilled Manual,F,M,1,2,0,2,51848,0,47.9
Paris,Seine (Paris),France,6/21/1990 12:00:00 AM,Bachelors,Skilled Manual,M,M,0,2,0,1,56306,0,48.6
Mühlheim,Hamburg,Germany,1/9/1963 12:00:00 AM,Partial College,Manual,F,M,1,1,1,2,25718,0,46.53
Puyallup,Washington,United States,10/25/1979 12:00:00 AM,Graduate Degree,Clerical,F,S,1,0,0,0,77892,0,53.25
